State,Crime_Head,Year,Persons_Arrested
MANIPUR,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,4
MEGHALAYA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,3
MIZORAM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,0
NAGALAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,0
ODISHA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,1972
PUNJAB,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,2746
RAJASTHAN,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,7082
SIKKIM,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,0
TAMIL NADU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,1545
TRIPURA,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,252
UTTAR PRADESH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,19827
UTTARAKHAND,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,746
WEST BENGAL,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,6645
A & N ISLANDS,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,7
CHANDIGARH,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,33
D & N HAVELI,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,4
DAMAN & DIU,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,13
DELHI,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,1200
LAKSHADWEEP,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,0
PUDUCHERRY,CRUELTY BY HUSBAND OR HIS RELATIVES (IPC SECTION 498A),2001,3
ANDHRA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,6
ARUNACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
ASSAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
BIHAR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,179
CHHATTISGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
GOA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
GUJARAT,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
HARYANA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
HIMACHAL PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
JAMMU & KASHMIR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
JHARKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,8
KARNATAKA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
KERALA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
MADHYA PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
MAHARASHTRA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,11
MANIPUR,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
MEGHALAYA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
MIZORAM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
NAGALAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
ODISHA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
PUNJAB,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
RAJASTHAN,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,2
SIKKIM,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
TAMIL NADU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,12
TRIPURA,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
UTTAR PRADESH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
UTTARAKHAND,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
WEST BENGAL,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,2
A & N ISLANDS,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
CHANDIGARH,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
D & N HAVELI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
DAMAN & DIU,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
DELHI,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
LAKSHADWEEP,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
PUDUCHERRY,IMPORTATION OF GIRLS FROM FOREIGN COUNTRY,2001,0
ANDHRA PRADESH,IMMORAL TRAFFIC (P) ACT,2001,1860
ARUNACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,2001,0
ASSAM,IMMORAL TRAFFIC (P) ACT,2001,6
BIHAR,IMMORAL TRAFFIC (P) ACT,2001,168
CHHATTISGARH,IMMORAL TRAFFIC (P) ACT,2001,36
GOA,IMMORAL TRAFFIC (P) ACT,2001,101
GUJARAT,IMMORAL TRAFFIC (P) ACT,2001,390
HARYANA,IMMORAL TRAFFIC (P) ACT,2001,93
HIMACHAL PRADESH,IMMORAL TRAFFIC (P) ACT,2001,5
JAMMU & KASHMIR,IMMORAL TRAFFIC (P) ACT,2001,16
JHARKHAND,IMMORAL TRAFFIC (P) ACT,2001,2
KARNATAKA,IMMORAL TRAFFIC (P) ACT,2001,2325
KERALA,IMMORAL TRAFFIC (P) ACT,2001,410
MADHYA PRADESH,IMMORAL TRAFFIC (P) ACT,2001,105
MAHARASHTRA,IMMORAL TRAFFIC (P) ACT,2001,976
MANIPUR,IMMORAL TRAFFIC (P) ACT,2001,11
MEGHALAYA,IMMORAL TRAFFIC (P) ACT,2001,0
MIZORAM,IMMORAL TRAFFIC (P) ACT,2001,11
NAGALAND,IMMORAL TRAFFIC (P) ACT,2001,1
ODISHA,IMMORAL TRAFFIC (P) ACT,2001,95
PUNJAB,IMMORAL TRAFFIC (P) ACT,2001,120
RAJASTHAN,IMMORAL TRAFFIC (P) ACT,2001,218
SIKKIM,IMMORAL TRAFFIC (P) ACT,2001,0
TAMIL NADU,IMMORAL TRAFFIC (P) ACT,2001,5331
TRIPURA,IMMORAL TRAFFIC (P) ACT,2001,0
UTTAR PRADESH,IMMORAL TRAFFIC (P) ACT,2001,125
UTTARAKHAND,IMMORAL TRAFFIC (P) ACT,2001,0
WEST BENGAL,IMMORAL TRAFFIC (P) ACT,2001,157
A & N ISLANDS,IMMORAL TRAFFIC (P) ACT,2001,0
CHANDIGARH,IMMORAL TRAFFIC (P) ACT,2001,9
D & N HAVELI,IMMORAL TRAFFIC (P) ACT,2001,0
DAMAN & DIU,IMMORAL TRAFFIC (P) ACT,2001,27
DELHI,IMMORAL TRAFFIC (P) ACT,2001,136
LAKSHADWEEP,IMMORAL TRAFFIC (P) ACT,2001,0
PUDUCHERRY,IMMORAL TRAFFIC (P) ACT,2001,89
ANDHRA PRADESH,DOWRY PROHIBITION ACT,2001,1042
ARUNACHAL PRADESH,DOWRY PROHIBITION ACT,2001,0
ASSAM,DOWRY PROHIBITION ACT,2001,197
BIHAR,DOWRY PROHIBITION ACT,2001,2501
CHHATTISGARH,DOWRY PROHIBITION ACT,2001,17
GOA,DOWRY PROHIBITION ACT,2001,0
GUJARAT,DOWRY PROHIBITION ACT,2001,0
HARYANA,DOWRY PROHIBITION ACT,2001,0
HIMACHAL PRADESH,DOWRY PROHIBITION ACT,2001,29
JAMMU & KASHMIR,DOWRY PROHIBITION ACT,2001,2
JHARKHAND,DOWRY PROHIBITION ACT,2001,855
KARNATAKA,DOWRY PROHIBITION ACT,2001,520
KERALA,DOWRY PROHIBITION ACT,2001,3
MADHYA PRADESH,DOWRY PROHIBITION ACT,2001,97
MAHARASHTRA,DOWRY PROHIBITION ACT,2001,39
MANIPUR,DOWRY PROHIBITION ACT,2001,0
MEGHALAYA,DOWRY PROHIBITION ACT,2001,0
MIZORAM,DOWRY PROHIBITION ACT,2001,0
NAGALAND,DOWRY PROHIBITION ACT,2001,0
ODISHA,DOWRY PROHIBITION ACT,2001,526
PUNJAB,DOWRY PROHIBITION ACT,2001,0
RAJASTHAN,DOWRY PROHIBITION ACT,2001,7
SIKKIM,DOWRY PROHIBITION ACT,2001,0
TAMIL NADU,DOWRY PROHIBITION ACT,2001,66
TRIPURA,DOWRY PROHIBITION ACT,2001,0
UTTAR PRADESH,DOWRY PROHIBITION ACT,2001,1119
UTTARAKHAND,DOWRY PROHIBITION ACT,2001,7
WEST BENGAL,DOWRY PROHIBITION ACT,2001,8
A & N ISLANDS,DOWRY PROHIBITION ACT,2001,0
CHANDIGARH,DOWRY PROHIBITION ACT,2001,0
D & N HAVELI,DOWRY PROHIBITION ACT,2001,0
DAMAN & DIU,DOWRY PROHIBITION ACT,2001,0
DELHI,DOWRY PROHIBITION ACT,2001,19
LAKSHADWEEP,DOWRY PROHIBITION ACT,2001,0
PUDUCHERRY,DOWRY PROHIBITION ACT,2001,2
ANDHRA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,509
ARUNACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
ASSAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,1
BIHAR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,42
CHHATTISGARH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
GOA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
GUJARAT,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
HARYANA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
HIMACHAL PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
JAMMU & KASHMIR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
JHARKHAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
KARNATAKA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
KERALA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,50
MADHYA PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
MAHARASHTRA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,18
MANIPUR,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
MEGHALAYA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
MIZORAM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
NAGALAND,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
ODISHA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
PUNJAB,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,1
RAJASTHAN,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,52
SIKKIM,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
TAMIL NADU,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,11
TRIPURA,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,0
UTTAR PRADESH,INDECENT REPRESENTATION OF WOMEN (P) ACT,2001,6
